uid,node,webinar,url,time,time_period,all_visits,enrolment,all_enrol,purchased_entity,all_orders
16410,[],[],http://grmds.org/user/reset/16410/1642952296/hffZm0J4l9C_b9mg-gMKybrdvIt07KGO5wJB2lpXDvQ,1642952335.0,1642952.0,"[""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=16410        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/reset/16410/1642952296/hffZm0J4l9C_b9mg-gMKybrdvIt07KGO5wJB2lpXDvQ'"", ""'http://grmds.org/user/16410/dashboard'"", ""'http://grmds.org/table_update_usr/ajax/16410'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=16410        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=16410        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/history/1392/read'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=16410        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=16410        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/braceImpact'"", ""'http://grmds.org/table_update_pro/ajax/1392'""]",272.0,['272'],,
4122,[],['/webinar/Using-Text-for-Marketing-Insights'],http://grmds.org/user/login?moodleurl=http://learn.grmds.org/,1642428125.0,1642428.0,"[""'http://grmds.org/table_update_usr/ajax/9744'"", ""'http://grmds.org/user'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=9744        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=9744        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/user/login?moodleurl=http://learn.grmds.org/'"", ""'http://grmds.org/user/list/me'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=9744        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=9744        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=9744        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/9744/dashboard'""]",,,215,215
10266,[],[],http://grmds.org/user/reset/17076/1643858830/Jwvk0fkh947ZPjn29_pCTiCeHG_ufWVMt4PNjKre9LM,1643858954.0,1643858.0,"[""'http://grmds.org/history/609/read'"", ""'http://grmds.org/table_update_usr/ajax/17076'"", ""'http://grmds.org/user/17076/edit'"", ""'http://grmds.org/user/17076/dashboard'"", ""'http://grmds.org/membership-pricing'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=17076        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/register'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/user/reset/17076/1643858830/Jwvk0fkh947ZPjn29_pCTiCeHG_ufWVMt4PNjKre9LM'"", ""'http://grmds.org/user/17076/user_follow'""]",,,201,201
8220,[],[],,,,,,,,
4128,[],[],,,,,259.0,259.0,200,200
10272,['/node/1268'],[],,,,,,,,
2082,[],[],,,,,124.0,124.0,,
6180,[],[],http://grmds.org/user/login,1643958682.0,1643958.0,"[""'http://grmds.org/table_update_usr/ajax/10116'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=10116        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/user/10116/dashboard'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=10116        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=10116        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=10116        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/user/list/me'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=10116        &page[offset]=0&page[limit]=8&include=field_banner_picture'""]",78.0,['78'],,
10278,[],[],,,,,,,,
2088,[],[],http://grmds.org/user/login_status,1642414044.0,1642414.0,"[""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/user/list/me'"", ""'http://grmds.org/user/16944/dashboard'""]",108.0,108.0,223,223
10284,[],[],,,,,,,,
6192,['/node/931'],[],http://grmds.org/user/login,1644899405.0,1644899.0,"[""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=9756        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/rmds-exchange'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/node/1368'"", ""'http://grmds.org/table_update_pro/ajax/941'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=9756        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/table_update_usr/ajax/9733'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/history/1368/read'"", ""'http://grmds.org/history/941/read'"", ""'http://grmds.org/user/9756/dashboard'"", ""'http://grmds.org/table_update_usr/ajax/9756'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=9756        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/themes/ihelper/css/base/elements.css?r5vdov='"", ""'http://grmds.org/themes/ihelper/css/components/capitons.css?r5vdov='"", ""'http://grmds.org/table_update_pro/ajax/1368'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=9756        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/themes/ihelper/css/components/table.css?r5vdov='"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=9756        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/list/me'""]",,,,
10290,[],[],,,,,,,,
2100,[],[],http://grmds.org/user/login_status,1642414044.0,1642414.0,"[""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/user/list/me'"", ""'http://grmds.org/user/16944/dashboard'""]",111.0,111.0,,
16440,[],[],http://grmds.org/user/reset/9552/1643914388/M4kMrcxlnJ1EIXV5pIeINH7Jz-BaqE-ixQqaoldDzFA,1643914412.0,1643914.0,"[""'http://grmds.org/history/653/read'"", ""'http://grmds.org/table_update_pro/ajax/9616'"", ""'http://grmds.org/node/9616'"", ""'http://grmds.org/PI-portal'"", ""'http://grmds.org/ds-volunteer-application-form?element_parents=elements/page_3/please_upload_your_resume_here&ajax_form=1&_wrapper_format=drupal_ajax&_wrapper_format=drupal_ajax'"", ""'http://grmds.org/history/9616/read'"", ""'http://grmds.org/user/reset/9552/1643914388/M4kMrcxlnJ1EIXV5pIeINH7Jz-BaqE-ixQqaoldDzFA'"", ""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/table_update_usr/ajax/9552'"", ""'http://grmds.org/table_update_pro/ajax/653'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=9552        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=9552        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/user/9552/dashboard'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=9552        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/ds-volunteer-application-form?element_parents=elements/page_3/please_upload_your_resume_here&ajax_form=1&_wrapper_format=drupal_ajax'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=9552        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/ds-volunteer-application-form'"", ""'http://grmds.org/themes/ihelper/css/base/elements.css?r5vdov='"", ""'http://grmds.org/themes/ihelper/css/components/capitons.css?r5vdov='"", ""'http://grmds.org/themes/ihelper/css/components/table.css?r5vdov='"", ""'http://grmds.org/ds-volunteer-application-form/confirmation?token=r2E6k5BOEITwSbNXWD0GK-q2vF4jExoXaK4EQkmy4qQ'"", ""'http://grmds.org/careers/pi-program'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=9552        &page[offset]=0&page[limit]=8&include=field_banner_picture'""]",,,,
10296,[],[],http://grmds.org/user/login,1642846371.0,1642846.0,"[""'http://grmds.org/shop/data'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=10512        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/form/2022-nft-comp-non-hs'"", ""'http://grmds.org/table_update_pro/ajax/9609'"", ""'http://grmds.org/braceImpact'"", ""'http://grmds.org/history/9610/read'"", ""'http://grmds.org/table_update_pro/ajax/9610'"", ""'http://grmds.org/form/2022-nft-comp-non-hs?ajax_form=1&_wrapper_format=drupal_ajax'"", ""'http://grmds.org/table_update_usr/ajax/10512'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=10512        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/table_update_pro/ajax/1399'"", ""'http://grmds.org/history/1392/read'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/comp/nft'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=10512        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=10512        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=10512        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/history/9609/read'"", ""'http://grmds.org/history/1399/read'"", ""'http://grmds.org/user/rafi-farras-kusuma'"", ""'http://grmds.org/user/10512/dashboard'"", ""'http://grmds.org/resources'"", ""'http://grmds.org/form/2022-nft-comp-non-hs?ajax_form=1&_wrapper_format=drupal_ajax&_wrapper_format=drupal_ajax'"", ""'http://grmds.org/comp/nft?utm_source=Email&utm_medium=email&utm_campaign=DSC2022Q1_email&utm_content=Judge-p-02032022'"", ""'http://grmds.org/Q4/SampleSoln'"", ""'http://grmds.org/table_update_pro/ajax/1392'"", ""'http://grmds.org/form/2022-nft-comp-non-hs/confirmation?token=RHuH3b9NBLZ8y-TyHLN-rXSzY-g-icf-vAYMLH5ufAQ'"", ""'http://grmds.org/pi-upskillprogram'""]",,,226,226
2106,"['/node/715', '/node/720', '/node/705', '/node/701', '/node/716', '/node/722', '/node/723', '/node/733', '/node/736']",['/webinar/Intro-to-Spatial-Analytics-and-Epidemiological-Modeling-for-Covid-19'],http://grmds.org/user/login,1643581214.0,1643581.0,"[""'http://grmds.org/user/login'"", ""'http://grmds.org/form/2022-nft-comp-non-hs'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/form/2022-nft-comp-non-hs/confirmation?token=U7z5yt1mhSzwDRn0suJcI-nTe8TepdeXDps_W-VgbgU'""]",79.0,79.0,270,270
10302,[],[],,,,,,,,
2112,[],[],http://grmds.org/user/login,1644801156.0,1644801.0,"[""'http://grmds.org/user'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=10050        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=10050        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/user/list/me'"", ""'http://grmds.org/user/ang-prisila-kartin'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=10050        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/table_update_usr/ajax/10050'"", ""'http://grmds.org/'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=10050        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=10050        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/history/125/read'"", ""'http://grmds.org/table_update_pro/ajax/125'"", ""'http://grmds.org/user/10050/dashboard'""]",201.0,201.0,,
10308,"['/node/1186', '/node/1000', '/node/1172', '/node/1190']",[],,,,,165.0,165.0,268,268
2118,['/node/720'],[],http://grmds.org/user/login,1642846371.0,1642846.0,"[""'http://grmds.org/shop/data'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=10512        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/form/2022-nft-comp-non-hs'"", ""'http://grmds.org/table_update_pro/ajax/9609'"", ""'http://grmds.org/braceImpact'"", ""'http://grmds.org/history/9610/read'"", ""'http://grmds.org/table_update_pro/ajax/9610'"", ""'http://grmds.org/form/2022-nft-comp-non-hs?ajax_form=1&_wrapper_format=drupal_ajax'"", ""'http://grmds.org/table_update_usr/ajax/10512'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=10512        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/table_update_pro/ajax/1399'"", ""'http://grmds.org/history/1392/read'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/comp/nft'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=10512        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=10512        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=10512        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/history/9609/read'"", ""'http://grmds.org/history/1399/read'"", ""'http://grmds.org/user/rafi-farras-kusuma'"", ""'http://grmds.org/user/10512/dashboard'"", ""'http://grmds.org/resources'"", ""'http://grmds.org/form/2022-nft-comp-non-hs?ajax_form=1&_wrapper_format=drupal_ajax&_wrapper_format=drupal_ajax'"", ""'http://grmds.org/comp/nft?utm_source=Email&utm_medium=email&utm_campaign=DSC2022Q1_email&utm_content=Judge-p-02032022'"", ""'http://grmds.org/Q4/SampleSoln'"", ""'http://grmds.org/table_update_pro/ajax/1392'"", ""'http://grmds.org/form/2022-nft-comp-non-hs/confirmation?token=RHuH3b9NBLZ8y-TyHLN-rXSzY-g-icf-vAYMLH5ufAQ'"", ""'http://grmds.org/pi-upskillprogram'""]",,,,
10314,"['/node/1255', '/node/1268']",[],,,,,,,,
2124,"['/node/548', '/node/600', '/node/561', '/node/598']",['/webinar/Intro-to-Spatial-Analytics-and-Epidemiological-Modeling-for-Covid-19'],http://grmds.org/,1642409791.0,1642409.0,"[""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/user/10932/dashboard'"", ""'http://grmds.org/table_update_usr/ajax/10932'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=10932        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=10932        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=10932        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/user/login?moodleurl=http://learn.grmds.org/'"", ""'http://grmds.org/user/list/me'"", ""'http://grmds.org/table_update_pro/ajax/125'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=10932        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=10932        &page[offset]=0&page[limit]=8&include=field_banner_picture'""]",124.0,124.0,,
10320,[],[],http://grmds.org/user/login,1643380045.0,1643380.0,"[""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=246        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=246        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/form/2021-q4-brace-4-impact'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=10890        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/table_update_pro/ajax/9620'"", ""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/braceImpact'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=246        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=10890        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/table_update_usr/ajax/246'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=246        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/node/add/projects?element_parents=field_project_file/widget&ajax_form=1&_wrapper_format=drupal_ajax'"", ""'http://grmds.org/history/1392/read'"", ""'http://grmds.org/node/add/projects'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/user/10890/dashboard'"", ""'http://grmds.org/user/246/dashboard'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=246        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/node/9620'"", ""'http://grmds.org/table_update_usr/ajax/10890'"", ""'http://grmds.org/user/10890/follower-following'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=10890        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/node/9620?ajax_form=1&_wrapper_format=drupal_ajax'"", ""'http://grmds.org/history/9620/read'"", ""'http://grmds.org/table_update_pro/ajax/add'"", ""'http://grmds.org/table_update_pro/ajax/1392'"", ""'http://grmds.org/user/william-suryo-goey'"", ""'http://grmds.org/themes/ihelper/css/base/elements.css?r5vdov='"", ""'http://grmds.org/themes/ihelper/css/components/capitons.css?r5vdov='"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=10890        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/node/add/projects?element_parents=field_project_file/widget&ajax_form=1&_wrapper_format=drupal_ajax&_wrapper_format=drupal_ajax'"", ""'http://grmds.org/themes/ihelper/css/components/table.css?r5vdov='"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=10890        &page[offset]=0&page[limit]=8&include=field_banner_picture'""]",,,,
2130,"['/node/730', '/node/731', '/node/744']",[],,,,,110.0,['110'],,
10326,[],[],,,,,,,,
2136,"['/node/570', '/node/597', '/node/598', '/node/599', '/node/600']","['/webinar/How-AI-and-Big-Data-are-Revolutionizing-Global-Responses-to-the-Coronavirus', '/webinar/Intro-to-Spatial-Analytics-and-Epidemiological-Modeling-for-Covid-19', '/webinar/ethics-and-bias-in-ai-systems-with-a-review-of-recruitment-systems', '/webinar/mobility-data-for-social-distancing-and-covid-19-response']",http://grmds.org/user/login?moodleurl=http://learn.grmds.org/course/view.php?id=84,1643809021.0,1643809.0,"[""'http://grmds.org/user/6300/dashboard'"", ""'http://grmds.org/table_update_usr/ajax/6300'"", ""'http://grmds.org/user/login?moodleurl=http://learn.grmds.org/course/view.php?id=84'"", ""'http://grmds.org/commerce_google_tag_manager'""]",,,,
6234,[],[],,,,,,,,
10332,[],[],,,,,,,276,276
2142,[],['/webinar/mobility-data-for-social-distancing-and-covid-19-response'],,,,,259.0,259.0,,
6240,[],[],,,,,146.0,"['146', '171']",,
